state,report_date,as_of_date,self_response,nrfu,enumerated
Wisconsin,2020-08-20,2020-08-19,70.4,9.5,79.9
Wyoming,2020-08-20,2020-08-19,58.4,8.6,66.9
Puerto Rico,2020-08-20,2020-08-19,30.8,25.7,56.5
U.S. Total,2020-08-21,2020-08-20,64.2,9.7,73.9
Alabama,2020-08-21,2020-08-20,61.4,5.5,66.9
Alaska,2020-08-21,2020-08-20,51.9,22.3,74.1
Arizona,2020-08-21,2020-08-20,60.7,5.2,65.8
Arkansas,2020-08-21,2020-08-20,58.6,12.6,71.2
California,2020-08-21,2020-08-20,66.1,11.1,77.2
Colorado,2020-08-21,2020-08-20,67.6,9.1,76.6
Connecticut,2020-08-21,2020-08-20,68.2,14.4,82.6
Delaware,2020-08-21,2020-08-20,61.7,8.8,70.4
District of Columbia,2020-08-21,2020-08-20,60.6,10.7,71.3
Florida,2020-08-21,2020-08-20,60.9,6.1,67
Georgia,2020-08-21,2020-08-20,59.6,6.1,65.8
Hawaii,2020-08-21,2020-08-20,61.2,19.2,80.4
Idaho,2020-08-21,2020-08-20,68.4,24.1,92.5
Illinois,2020-08-21,2020-08-20,69.1,12.9,82
Indiana,2020-08-21,2020-08-20,68.4,13.4,81.8
Iowa,2020-08-21,2020-08-20,69.2,2.3,71.6
Kansas,2020-08-21,2020-08-20,68.1,16.1,84.2
Kentucky,2020-08-21,2020-08-20,66.6,6.8,73.4
Louisiana,2020-08-21,2020-08-20,57.9,11.2,69.1
Maine,2020-08-21,2020-08-20,56.5,25.7,82.1
Maryland,2020-08-21,2020-08-20,68.6,11.8,80.4
Massachusetts,2020-08-21,2020-08-20,66.5,12.1,78.6
Michigan,2020-08-21,2020-08-20,69.4,4.9,74.4
Minnesota,2020-08-21,2020-08-20,73.3,7.8,81.1
Mississippi,2020-08-21,2020-08-20,58.5,7.8,66.3
Missouri,2020-08-21,2020-08-20,64,14.6,78.6
Montana,2020-08-21,2020-08-20,57.6,7.9,65.5
Nebraska,2020-08-21,2020-08-20,69.7,7.2,77
Nevada,2020-08-21,2020-08-20,63.2,5.9,69.1
New Hampshire,2020-08-21,2020-08-20,64,7,71
New Jersey,2020-08-21,2020-08-20,66,7.2,73.2
