state,report_date,as_of_date,self_response,nrfu,enumerated
Iowa,2020-08-27,2020-08-26,69.5,6.5,76
Kansas,2020-08-27,2020-08-26,68.5,20.6,89
Kentucky,2020-08-27,2020-08-26,66.9,11.3,78.2
Louisiana,2020-08-27,2020-08-26,58.2,14.7,72.9
Maine,2020-08-27,2020-08-26,56.8,30.8,87.6
Maryland,2020-08-27,2020-08-26,69.1,15.7,84.7
Massachusetts,2020-08-27,2020-08-26,67,16.7,83.7
Michigan,2020-08-27,2020-08-26,69.8,9.6,79.4
Minnesota,2020-08-27,2020-08-26,73.7,12.1,85.8
Mississippi,2020-08-27,2020-08-26,58.7,12.5,71.2
Missouri,2020-08-27,2020-08-26,64.4,19.7,84
Montana,2020-08-27,2020-08-26,57.9,12.7,70.6
Nebraska,2020-08-27,2020-08-26,70.2,11.5,81.6
Nevada,2020-08-27,2020-08-26,63.8,10.9,74.7
New Hampshire,2020-08-27,2020-08-26,64.6,13,77.6
New Jersey,2020-08-27,2020-08-26,66.6,11.9,78.6
New Mexico,2020-08-27,2020-08-26,55.3,12.6,67.9
New York,2020-08-27,2020-08-26,60.7,15.1,75.7
North Carolina,2020-08-27,2020-08-26,60.5,11.1,71.6
North Dakota,2020-08-27,2020-08-26,63.7,18.3,82
Ohio,2020-08-27,2020-08-26,68.8,13.7,82.5
Oklahoma,2020-08-27,2020-08-26,59,17,76
Oregon,2020-08-27,2020-08-26,67.5,19.9,87.4
Pennsylvania,2020-08-27,2020-08-26,67.5,15.4,82.9
Rhode Island,2020-08-27,2020-08-26,62.5,16.2,78.7
South Carolina,2020-08-27,2020-08-26,58.5,12,70.5
South Dakota,2020-08-27,2020-08-26,65.3,12.1,77.4
Tennessee,2020-08-27,2020-08-26,64,15.5,79.4
Texas,2020-08-27,2020-08-26,60,14.9,74.8
Utah,2020-08-27,2020-08-26,69,13.2,82.3
Vermont,2020-08-27,2020-08-26,58.4,18.6,77
Virginia,2020-08-27,2020-08-26,69.2,12.3,81.6
Washington,2020-08-27,2020-08-26,70.9,18.7,89.6
West Virginia,2020-08-27,2020-08-26,55.5,35.1,90.6
Wisconsin,2020-08-27,2020-08-26,70.9,16.4,87.3
Wyoming,2020-08-27,2020-08-26,58.9,16.1,75
Puerto Rico,2020-08-27,2020-08-26,32,35.8,67.8
U.S. Total,2020-08-28,2020-08-27,64.7,15.4,80.1
Alabama,2020-08-28,2020-08-27,61.7,10,71.7
Alaska,2020-08-28,2020-08-27,52.7,30.8,83.5
Arizona,2020-08-28,2020-08-27,61.2,10.1,71.3
Arkansas,2020-08-28,2020-08-27,59.2,21.5,80.6
California,2020-08-28,2020-08-27,66.9,17.3,84.3
Colorado,2020-08-28,2020-08-27,68.1,14,82.1
Connecticut,2020-08-28,2020-08-27,68.9,19.7,88.5
Delaware,2020-08-28,2020-08-27,62.2,14.7,77
District of Columbia,2020-08-28,2020-08-27,61.1,17.2,78.4
Florida,2020-08-28,2020-08-27,61.4,11.7,73.1
Georgia,2020-08-28,2020-08-27,60.1,11.1,71.1
Hawaii,2020-08-28,2020-08-27,61.6,26.2,87.9
Idaho,2020-08-28,2020-08-27,68.6,27.3,95.9
Illinois,2020-08-28,2020-08-27,69.5,17.1,86.6
Indiana,2020-08-28,2020-08-27,68.9,19.4,88.2
Iowa,2020-08-28,2020-08-27,69.6,7.3,76.8
Kansas,2020-08-28,2020-08-27,68.5,21.2,89.8
Kentucky,2020-08-28,2020-08-27,66.9,12.1,79.1
Louisiana,2020-08-28,2020-08-27,58.2,15,73.3
Maine,2020-08-28,2020-08-27,56.9,31.7,88.5
Maryland,2020-08-28,2020-08-27,69.1,16.3,85.4
Massachusetts,2020-08-28,2020-08-27,67.1,17.4,84.5
Michigan,2020-08-28,2020-08-27,69.8,10.5,80.3
Minnesota,2020-08-28,2020-08-27,73.7,12.8,86.6
Mississippi,2020-08-28,2020-08-27,58.8,13.3,72
Missouri,2020-08-28,2020-08-27,64.5,20.6,85
Montana,2020-08-28,2020-08-27,58,13.6,71.6
Nebraska,2020-08-28,2020-08-27,70.3,12.2,82.5
Nevada,2020-08-28,2020-08-27,63.9,12,76
New Hampshire,2020-08-28,2020-08-27,64.8,14,78.8
New Jersey,2020-08-28,2020-08-27,66.7,12.7,79.4
New Mexico,2020-08-28,2020-08-27,55.3,13.7,69
New York,2020-08-28,2020-08-27,60.8,16,76.8
North Carolina,2020-08-28,2020-08-27,60.6,12,72.6
North Dakota,2020-08-28,2020-08-27,63.8,19,82.8
Ohio,2020-08-28,2020-08-27,68.9,14.6,83.4
Oklahoma,2020-08-28,2020-08-27,59.1,17.8,76.9
Oregon,2020-08-28,2020-08-27,67.6,20.9,88.5
Pennsylvania,2020-08-28,2020-08-27,67.6,16.2,83.7
Rhode Island,2020-08-28,2020-08-27,62.6,17.1,79.8
South Carolina,2020-08-28,2020-08-27,58.6,13,71.6
South Dakota,2020-08-28,2020-08-27,65.4,13,78.4
Tennessee,2020-08-28,2020-08-27,64,16.5,80.5
Texas,2020-08-28,2020-08-27,60.1,15.8,75.8
Utah,2020-08-28,2020-08-27,69.1,14.1,83.3
Vermont,2020-08-28,2020-08-27,58.5,19.8,78.3
Virginia,2020-08-28,2020-08-27,69.3,13,82.4
Washington,2020-08-28,2020-08-27,71,19.3,90.3
West Virginia,2020-08-28,2020-08-27,55.6,35.9,91.5
Wisconsin,2020-08-28,2020-08-27,71,17.3,88.3
Wyoming,2020-08-28,2020-08-27,59,17.3,76.3
Puerto Rico,2020-08-28,2020-08-27,32.1,37.5,69.6
U.S. Total,2020-08-29,2020-08-28,64.8,16.2,81
Alabama,2020-08-29,2020-08-28,61.7,10.6,72.3
Alaska,2020-08-29,2020-08-28,52.8,31.6,84.4
Arizona,2020-08-29,2020-08-28,61.3,10.8,72.1
Arkansas,2020-08-29,2020-08-28,59.2,22.6,81.8
California,2020-08-29,2020-08-28,67,18.1,85.2
Colorado,2020-08-29,2020-08-28,68.2,14.7,82.8
Connecticut,2020-08-29,2020-08-28,68.9,20.4,89.3
Delaware,2020-08-29,2020-08-28,62.3,15.5,77.8
District of Columbia,2020-08-29,2020-08-28,61.2,17.9,79.2
Florida,2020-08-29,2020-08-28,61.5,12.6,74
Georgia,2020-08-29,2020-08-28,60.1,11.8,71.9
Hawaii,2020-08-29,2020-08-28,61.7,27.1,88.8
Idaho,2020-08-29,2020-08-28,68.6,27.6,96.2
Illinois,2020-08-29,2020-08-28,69.6,17.6,87.2
Indiana,2020-08-29,2020-08-28,68.9,20,89
Iowa,2020-08-29,2020-08-28,69.6,8,77.6
Kansas,2020-08-29,2020-08-28,68.6,21.9,90.4
Kentucky,2020-08-29,2020-08-28,67,12.8,79.8
Louisiana,2020-08-29,2020-08-28,58.2,15.6,73.8
Maine,2020-08-29,2020-08-28,56.9,32.4,89.4
Maryland,2020-08-29,2020-08-28,69.2,16.8,86
Massachusetts,2020-08-29,2020-08-28,67.2,18.2,85.4
Michigan,2020-08-29,2020-08-28,69.9,11.2,81.1
Minnesota,2020-08-29,2020-08-28,73.8,13.5,87.3
Mississippi,2020-08-29,2020-08-28,58.8,14,72.9
Missouri,2020-08-29,2020-08-28,64.5,21.3,85.9
Montana,2020-08-29,2020-08-28,58.1,14.5,72.6
Nebraska,2020-08-29,2020-08-28,70.3,12.9,83.2
Nevada,2020-08-29,2020-08-28,64,13.2,77.3
New Hampshire,2020-08-29,2020-08-28,64.8,15.1,80
New Jersey,2020-08-29,2020-08-28,66.8,13.5,80.3
New Mexico,2020-08-29,2020-08-28,55.5,14.7,70.2
New York,2020-08-29,2020-08-28,60.9,17,77.9
North Carolina,2020-08-29,2020-08-28,60.6,12.9,73.5
North Dakota,2020-08-29,2020-08-28,63.9,19.6,83.5
Ohio,2020-08-29,2020-08-28,68.9,15.2,84.1
Oklahoma,2020-08-29,2020-08-28,59.2,18.6,77.8
Oregon,2020-08-29,2020-08-28,67.7,21.7,89.4
Pennsylvania,2020-08-29,2020-08-28,67.6,16.8,84.4
Rhode Island,2020-08-29,2020-08-28,62.7,18.2,81
South Carolina,2020-08-29,2020-08-28,58.7,13.9,72.5
South Dakota,2020-08-29,2020-08-28,65.5,13.8,79.2
Tennessee,2020-08-29,2020-08-28,64.1,17.2,81.3
Texas,2020-08-29,2020-08-28,60.2,16.6,76.8
Utah,2020-08-29,2020-08-28,69.2,15,84.3
Vermont,2020-08-29,2020-08-28,58.6,21.1,79.7
Virginia,2020-08-29,2020-08-28,69.4,13.7,83.1
Washington,2020-08-29,2020-08-28,71,19.9,91
West Virginia,2020-08-29,2020-08-28,55.6,36.7,92.3
Wisconsin,2020-08-29,2020-08-28,71.1,18,89.1
Wyoming,2020-08-29,2020-08-28,59.1,18.3,77.4
Puerto Rico,2020-08-29,2020-08-28,32.2,39.2,71.3
U.S. Total,2020-08-30,2020-08-29,64.9,16.9,81.7
Alabama,2020-08-30,2020-08-29,61.8,11.2,73
Alaska,2020-08-30,2020-08-29,52.8,32.3,85.1
Arizona,2020-08-30,2020-08-29,61.3,11.5,72.9
Arkansas,2020-08-30,2020-08-29,59.3,23.7,83
California,2020-08-30,2020-08-29,67.1,18.8,85.9
Colorado,2020-08-30,2020-08-29,68.2,15.3,83.5
Connecticut,2020-08-30,2020-08-29,69,21,90
Delaware,2020-08-30,2020-08-29,62.4,16.1,78.5
District of Columbia,2020-08-30,2020-08-29,61.3,18.5,79.7
Florida,2020-08-30,2020-08-29,61.5,13.3,74.8
Georgia,2020-08-30,2020-08-29,60.2,12.5,72.7
Hawaii,2020-08-30,2020-08-29,61.7,28,89.7
Idaho,2020-08-30,2020-08-29,68.6,27.8,96.5
Illinois,2020-08-30,2020-08-29,69.6,18.1,87.7
Indiana,2020-08-30,2020-08-29,69,20.6,89.6
Iowa,2020-08-30,2020-08-29,69.7,8.8,78.5
Kansas,2020-08-30,2020-08-29,68.6,22.4,91
Kentucky,2020-08-30,2020-08-29,67,13.4,80.4
Louisiana,2020-08-30,2020-08-29,58.3,16.2,74.4
Maine,2020-08-30,2020-08-29,57,32.9,89.8
Maryland,2020-08-30,2020-08-29,69.2,17.3,86.5
Massachusetts,2020-08-30,2020-08-29,67.3,18.7,85.9
Michigan,2020-08-30,2020-08-29,69.9,11.9,81.8
Minnesota,2020-08-30,2020-08-29,73.8,14,87.9
Mississippi,2020-08-30,2020-08-29,58.9,14.8,73.7
Missouri,2020-08-30,2020-08-29,64.6,22,86.5
Montana,2020-08-30,2020-08-29,58.1,15.2,73.3
Nebraska,2020-08-30,2020-08-29,70.4,13.6,84
Nevada,2020-08-30,2020-08-29,64.1,14.3,78.5
New Hampshire,2020-08-30,2020-08-29,64.9,15.8,80.7
New Jersey,2020-08-30,2020-08-29,66.9,14.1,81
New Mexico,2020-08-30,2020-08-29,55.6,15.6,71.2
New York,2020-08-30,2020-08-29,61,17.9,78.8
North Carolina,2020-08-30,2020-08-29,60.7,13.6,74.3
North Dakota,2020-08-30,2020-08-29,63.9,20.2,84.1
Ohio,2020-08-30,2020-08-29,69,15.9,84.9
Oklahoma,2020-08-30,2020-08-29,59.2,19.3,78.5
Oregon,2020-08-30,2020-08-29,67.7,22.3,90
Pennsylvania,2020-08-30,2020-08-29,67.7,17.4,85
Rhode Island,2020-08-30,2020-08-29,62.8,19,81.8
South Carolina,2020-08-30,2020-08-29,58.7,14.7,73.4
South Dakota,2020-08-30,2020-08-29,65.5,14.5,80
Tennessee,2020-08-30,2020-08-29,64.2,18.1,82.2
Texas,2020-08-30,2020-08-29,60.2,17.5,77.7
Utah,2020-08-30,2020-08-29,69.3,15.8,85.1
Vermont,2020-08-30,2020-08-29,58.7,22.1,80.8
Virginia,2020-08-30,2020-08-29,69.4,14.2,83.7
Washington,2020-08-30,2020-08-29,71.1,20.5,91.5
West Virginia,2020-08-30,2020-08-29,55.6,37.3,92.9
Wisconsin,2020-08-30,2020-08-29,71.1,18.7,89.8
Wyoming,2020-08-30,2020-08-29,59.2,19.1,78.3
Puerto Rico,2020-08-30,2020-08-29,32.2,40.6,72.8
U.S. Total,2020-08-31,2020-08-30,64.9,17.5,82.4
Alabama,2020-08-31,2020-08-30,61.8,11.8,73.6
Alaska,2020-08-31,2020-08-30,52.9,33,85.9
Arizona,2020-08-31,2020-08-30,61.4,12.2,73.6
Arkansas,2020-08-31,2020-08-30,59.3,24.8,84.1
California,2020-08-31,2020-08-30,67.2,19.4,86.6
Colorado,2020-08-31,2020-08-30,68.3,15.8,84.1
Connecticut,2020-08-31,2020-08-30,69.1,21.5,90.6
Delaware,2020-08-31,2020-08-30,62.4,17,79.4
District of Columbia,2020-08-31,2020-08-30,61.3,19.1,80.4
Florida,2020-08-31,2020-08-30,61.6,13.9,75.5
Georgia,2020-08-31,2020-08-30,60.2,13,73.3
Hawaii,2020-08-31,2020-08-30,61.7,28.7,90.4
Idaho,2020-08-31,2020-08-30,68.6,28,96.7
Illinois,2020-08-31,2020-08-30,69.6,18.5,88.2
Indiana,2020-08-31,2020-08-30,69,21.2,90.2
Iowa,2020-08-31,2020-08-30,69.7,9.6,79.4
Kansas,2020-08-31,2020-08-30,68.6,22.9,91.5
Kentucky,2020-08-31,2020-08-30,67.1,14,81.1
Louisiana,2020-08-31,2020-08-30,58.3,16.7,75
Maine,2020-08-31,2020-08-30,57,33.4,90.4
Maryland,2020-08-31,2020-08-30,69.3,17.7,87
Massachusetts,2020-08-31,2020-08-30,67.3,19.3,86.6
Michigan,2020-08-31,2020-08-30,70,12.5,82.5
Minnesota,2020-08-31,2020-08-30,73.9,14.5,88.4
Mississippi,2020-08-31,2020-08-30,58.9,15.5,74.4
Missouri,2020-08-31,2020-08-30,64.6,22.6,87.2
Montana,2020-08-31,2020-08-30,58.2,15.9,74.1
Nebraska,2020-08-31,2020-08-30,70.4,14.2,84.7
Nevada,2020-08-31,2020-08-30,64.2,15.5,79.7
New Hampshire,2020-08-31,2020-08-30,65,16.9,81.9
New Jersey,2020-08-31,2020-08-30,67,14.8,81.8
New Mexico,2020-08-31,2020-08-30,55.6,16.5,72.1
New York,2020-08-31,2020-08-30,61,18.8,79.9
North Carolina,2020-08-31,2020-08-30,60.7,14.3,75.1
North Dakota,2020-08-31,2020-08-30,63.9,20.7,84.6
Ohio,2020-08-31,2020-08-30,69,16.5,85.5
Oklahoma,2020-08-31,2020-08-30,59.3,20,79.3
Oregon,2020-08-31,2020-08-30,67.8,22.9,90.7
Pennsylvania,2020-08-31,2020-08-30,67.7,18,85.7
Rhode Island,2020-08-31,2020-08-30,62.9,20,82.9
South Carolina,2020-08-31,2020-08-30,58.8,15.3,74.1
South Dakota,2020-08-31,2020-08-30,65.6,15.2,80.8
Tennessee,2020-08-31,2020-08-30,64.2,18.8,83
Texas,2020-08-31,2020-08-30,60.3,18.2,78.5
Utah,2020-08-31,2020-08-30,69.4,16.2,85.6
Vermont,2020-08-31,2020-08-30,58.8,23.5,82.2
Virginia,2020-08-31,2020-08-30,69.5,14.8,84.3
Washington,2020-08-31,2020-08-30,71.1,21,92.1
West Virginia,2020-08-31,2020-08-30,55.6,37.9,93.6
Wisconsin,2020-08-31,2020-08-30,71.2,19.3,90.5
Wyoming,2020-08-31,2020-08-30,59.2,19.9,79.2
Puerto Rico,2020-08-31,2020-08-30,32.3,42,74.3
U.S. Total,2020-09-01,2020-08-31,65,18.2,83.2
Alabama,2020-09-01,2020-08-31,61.8,12.4,74.3
Alaska,2020-09-01,2020-08-31,53,33.6,86.6
Arizona,2020-09-01,2020-08-31,61.5,12.9,74.4
Arkansas,2020-09-01,2020-08-31,59.4,25.8,85.2
California,2020-09-01,2020-08-31,67.3,20.1,87.4
Colorado,2020-09-01,2020-08-31,68.4,16.4,84.8
Connecticut,2020-09-01,2020-08-31,69.2,22,91.2
Delaware,2020-09-01,2020-08-31,62.6,17.7,80.3
District of Columbia,2020-09-01,2020-08-31,61.4,19.7,81.1
Florida,2020-09-01,2020-08-31,61.6,14.7,76.4
Georgia,2020-09-01,2020-08-31,60.3,13.7,74
Hawaii,2020-09-01,2020-08-31,61.8,29.3,91.1
Idaho,2020-09-01,2020-08-31,68.7,28.3,97
Illinois,2020-09-01,2020-08-31,69.7,19,88.7
Indiana,2020-09-01,2020-08-31,69.1,21.8,90.9
Iowa,2020-09-01,2020-08-31,69.8,10.4,80.2
Kansas,2020-09-01,2020-08-31,68.7,23.4,92.1
Kentucky,2020-09-01,2020-08-31,67.1,14.7,81.8
Louisiana,2020-09-01,2020-08-31,58.3,17.4,75.7
Maine,2020-09-01,2020-08-31,57.1,34.1,91.2
Maryland,2020-09-01,2020-08-31,69.4,18.2,87.5
Massachusetts,2020-09-01,2020-08-31,67.4,19.9,87.3
Michigan,2020-09-01,2020-08-31,70,13.3,83.4
Minnesota,2020-09-01,2020-08-31,73.9,15.1,89.1
Mississippi,2020-09-01,2020-08-31,58.9,16.2,75.2
Missouri,2020-09-01,2020-08-31,64.7,23.2,87.9
Montana,2020-09-01,2020-08-31,58.3,16.6,74.9
Nebraska,2020-09-01,2020-08-31,70.5,14.9,85.4
Nevada,2020-09-01,2020-08-31,64.4,16.5,80.9
New Hampshire,2020-09-01,2020-08-31,65.2,17.9,83.1
New Jersey,2020-09-01,2020-08-31,67.1,15.6,82.7
New Mexico,2020-09-01,2020-08-31,55.7,17.3,73
New York,2020-09-01,2020-08-31,61.2,19.7,80.9
North Carolina,2020-09-01,2020-08-31,60.8,15.1,75.9
North Dakota,2020-09-01,2020-08-31,64,21.3,85.3
Ohio,2020-09-01,2020-08-31,69.1,17.2,86.3
Oklahoma,2020-09-01,2020-08-31,59.3,20.7,80
Oregon,2020-09-01,2020-08-31,67.9,23.6,91.4
Pennsylvania,2020-09-01,2020-08-31,67.8,18.6,86.4
Rhode Island,2020-09-01,2020-08-31,63.1,20.8,83.8
South Carolina,2020-09-01,2020-08-31,58.9,16.1,75
South Dakota,2020-09-01,2020-08-31,65.7,15.9,81.6
Tennessee,2020-09-01,2020-08-31,64.3,19.5,83.9
Texas,2020-09-01,2020-08-31,60.4,19.1,79.5
Utah,2020-09-01,2020-08-31,69.5,16.9,86.4
Vermont,2020-09-01,2020-08-31,58.9,24.6,83.5
Virginia,2020-09-01,2020-08-31,69.6,15.4,84.9
Washington,2020-09-01,2020-08-31,71.2,21.5,92.6
West Virginia,2020-09-01,2020-08-31,55.6,38.5,94.2
Wisconsin,2020-09-01,2020-08-31,71.2,20,91.2
Wyoming,2020-09-01,2020-08-31,59.3,20.7,80.1
Puerto Rico,2020-09-01,2020-08-31,32.3,43.5,75.8
U.S. Total,2020-09-02,2020-09-01,65.1,19,84.1
Alabama,2020-09-02,2020-09-01,61.9,13.1,75
Alaska,2020-09-02,2020-09-01,53,34.2,87.2
Arizona,2020-09-02,2020-09-01,61.6,13.7,75.3
Arkansas,2020-09-02,2020-09-01,59.5,26.7,86.2
California,2020-09-02,2020-09-01,67.4,20.7,88.1
Colorado,2020-09-02,2020-09-01,68.4,17,85.5
Connecticut,2020-09-02,2020-09-01,69.2,22.6,91.8
Delaware,2020-09-02,2020-09-01,62.7,18.6,81.3
District of Columbia,2020-09-02,2020-09-01,61.5,20.5,82.1
Florida,2020-09-02,2020-09-01,61.7,15.7,77.4
Georgia,2020-09-02,2020-09-01,60.4,14.5,74.9
Hawaii,2020-09-02,2020-09-01,61.8,30.1,91.9
Idaho,2020-09-02,2020-09-01,68.7,28.5,97.2
Illinois,2020-09-02,2020-09-01,69.8,19.4,89.2
Indiana,2020-09-02,2020-09-01,69.2,22.4,91.6
Iowa,2020-09-02,2020-09-01,69.9,11.2,81.1
Kansas,2020-09-02,2020-09-01,68.8,24,92.7
Kentucky,2020-09-02,2020-09-01,67.2,15.4,82.6
Louisiana,2020-09-02,2020-09-01,58.4,18.1,76.5
Maine,2020-09-02,2020-09-01,57.2,34.8,92
Maryland,2020-09-02,2020-09-01,69.4,18.7,88.2
Massachusetts,2020-09-02,2020-09-01,67.6,20.5,88
Michigan,2020-09-02,2020-09-01,70.1,14.1,84.2
Minnesota,2020-09-02,2020-09-01,74,15.7,89.7
Mississippi,2020-09-02,2020-09-01,59,17,75.9
Missouri,2020-09-02,2020-09-01,64.7,23.9,88.6
Montana,2020-09-02,2020-09-01,58.3,17.5,75.8
Nebraska,2020-09-02,2020-09-01,70.6,15.6,86.2
Nevada,2020-09-02,2020-09-01,64.5,17.6,82.1
New Hampshire,2020-09-02,2020-09-01,65.3,19,84.3
New Jersey,2020-09-02,2020-09-01,67.2,16.4,83.6
New Mexico,2020-09-02,2020-09-01,55.9,18.4,74.3
New York,2020-09-02,2020-09-01,61.4,20.6,82
North Carolina,2020-09-02,2020-09-01,61,16.1,77.1
North Dakota,2020-09-02,2020-09-01,64,21.6,85.7
Ohio,2020-09-02,2020-09-01,69.2,17.9,87.1
Oklahoma,2020-09-02,2020-09-01,59.4,21.4,80.8
Oregon,2020-09-02,2020-09-01,68,24.2,92.1
Pennsylvania,2020-09-02,2020-09-01,67.9,19.4,87.3
Rhode Island,2020-09-02,2020-09-01,63.2,21.7,84.9
South Carolina,2020-09-02,2020-09-01,59,17,76
South Dakota,2020-09-02,2020-09-01,65.7,16.7,82.5
Tennessee,2020-09-02,2020-09-01,64.4,20.3,84.8
Texas,2020-09-02,2020-09-01,60.5,20,80.5
Utah,2020-09-02,2020-09-01,69.6,17.7,87.3
Vermont,2020-09-02,2020-09-01,59,25.7,84.7
Virginia,2020-09-02,2020-09-01,69.6,16,85.6
Washington,2020-09-02,2020-09-01,71.2,22,93.2
West Virginia,2020-09-02,2020-09-01,55.7,39.2,94.8
Wisconsin,2020-09-02,2020-09-01,71.3,20.6,91.9
Wyoming,2020-09-02,2020-09-01,59.4,21.6,81.1
Puerto Rico,2020-09-02,2020-09-01,32.4,44.9,77.3
U.S. Total,2020-09-03,2020-09-02,65.2,19.7,84.9
Alabama,2020-09-03,2020-09-02,61.9,13.8,75.8
Alaska,2020-09-03,2020-09-02,53.1,34.6,87.7
Arizona,2020-09-03,2020-09-02,61.7,14.5,76.2
Arkansas,2020-09-03,2020-09-02,59.5,27.7,87.2
California,2020-09-03,2020-09-02,67.5,21.4,88.9
Colorado,2020-09-03,2020-09-02,68.5,17.7,86.2
Connecticut,2020-09-03,2020-09-02,69.3,23,92.3
Delaware,2020-09-03,2020-09-02,62.8,19.4,82.2
District of Columbia,2020-09-03,2020-09-02,61.6,21.2,82.8
Florida,2020-09-03,2020-09-02,61.8,16.6,78.4
Georgia,2020-09-03,2020-09-02,60.5,15.3,75.7
Hawaii,2020-09-03,2020-09-02,61.8,30.7,92.6
Idaho,2020-09-03,2020-09-02,68.7,28.8,97.5
Illinois,2020-09-03,2020-09-02,69.8,20,89.8
Indiana,2020-09-03,2020-09-02,69.2,23.1,92.3
Iowa,2020-09-03,2020-09-02,70,12.1,82
Kansas,2020-09-03,2020-09-02,68.8,24.5,93.3
Kentucky,2020-09-03,2020-09-02,67.2,16,83.3
Louisiana,2020-09-03,2020-09-02,58.5,18.8,77.3
Maine,2020-09-03,2020-09-02,57.3,35.4,92.7
Maryland,2020-09-03,2020-09-02,69.5,19.2,88.7
Massachusetts,2020-09-03,2020-09-02,67.6,21.1,88.7
Michigan,2020-09-03,2020-09-02,70.2,14.9,85.1
Minnesota,2020-09-03,2020-09-02,74.1,16.2,90.3
Mississippi,2020-09-03,2020-09-02,59,17.7,76.8
Missouri,2020-09-03,2020-09-02,64.8,24.6,89.4
Montana,2020-09-03,2020-09-02,58.4,18.3,76.7
Nebraska,2020-09-03,2020-09-02,70.7,16.4,87
Nevada,2020-09-03,2020-09-02,64.6,18.7,83.3
New Hampshire,2020-09-03,2020-09-02,65.4,19.8,85.2
New Jersey,2020-09-03,2020-09-02,67.3,17.1,84.4
New Mexico,2020-09-03,2020-09-02,56,19.6,75.6
New York,2020-09-03,2020-09-02,61.5,21.4,83
North Carolina,2020-09-03,2020-09-02,61.1,17.1,78.1
North Dakota,2020-09-03,2020-09-02,64.1,22.2,86.3
Ohio,2020-09-03,2020-09-02,69.3,18.6,87.9
Oklahoma,2020-09-03,2020-09-02,59.5,22.1,81.6
Oregon,2020-09-03,2020-09-02,68,24.8,92.8
Pennsylvania,2020-09-03,2020-09-02,68,20,88
Rhode Island,2020-09-03,2020-09-02,63.3,22.4,85.7
South Carolina,2020-09-03,2020-09-02,59.1,17.9,77
South Dakota,2020-09-03,2020-09-02,65.8,17.6,83.4
Tennessee,2020-09-03,2020-09-02,64.5,21.2,85.7
Texas,2020-09-03,2020-09-02,60.6,20.9,81.6
Utah,2020-09-03,2020-09-02,69.7,18.5,88.2
Vermont,2020-09-03,2020-09-02,59.1,26.8,85.9
Virginia,2020-09-03,2020-09-02,69.7,16.6,86.4
Washington,2020-09-03,2020-09-02,71.3,22.4,93.8
West Virginia,2020-09-03,2020-09-02,55.7,39.8,95.4
Wisconsin,2020-09-03,2020-09-02,71.3,21.3,92.6
Wyoming,2020-09-03,2020-09-02,59.5,22.6,82.1
Puerto Rico,2020-09-03,2020-09-02,32.7,46.4,79.1
U.S. Total,2020-09-04,2020-09-03,65.3,20.4,85.7
Alabama,2020-09-04,2020-09-03,62,14.6,76.6
Alaska,2020-09-04,2020-09-03,53.1,35.1,88.2
Arizona,2020-09-04,2020-09-03,61.8,15.3,77.1
Arkansas,2020-09-04,2020-09-03,59.6,28.7,88.3
California,2020-09-04,2020-09-03,67.6,21.9,89.5
Colorado,2020-09-04,2020-09-03,68.6,18.3,86.9
Connecticut,2020-09-04,2020-09-03,69.4,23.4,92.8
Delaware,2020-09-04,2020-09-03,62.9,20.2,83.1
District of Columbia,2020-09-04,2020-09-03,61.7,21.9,83.6
Florida,2020-09-04,2020-09-03,61.9,17.5,79.4
Georgia,2020-09-04,2020-09-03,60.6,16,76.6
Hawaii,2020-09-04,2020-09-03,61.9,31.3,93.2
Idaho,2020-09-04,2020-09-03,68.7,29,97.7
Illinois,2020-09-04,2020-09-03,69.9,20.6,90.4
Indiana,2020-09-04,2020-09-03,69.3,23.7,93
Iowa,2020-09-04,2020-09-03,70,12.9,82.9
Kansas,2020-09-04,2020-09-03,68.9,24.9,93.8
Kentucky,2020-09-04,2020-09-03,67.3,16.7,84
Louisiana,2020-09-04,2020-09-03,58.5,19.6,78.1
Maine,2020-09-04,2020-09-03,57.3,36,93.3
Maryland,2020-09-04,2020-09-03,69.6,19.7,89.2
Massachusetts,2020-09-04,2020-09-03,67.7,21.7,89.4
Michigan,2020-09-04,2020-09-03,70.2,15.7,85.9
Minnesota,2020-09-04,2020-09-03,74.1,16.9,91
Mississippi,2020-09-04,2020-09-03,59.1,18.4,77.5
Missouri,2020-09-04,2020-09-03,64.8,25.3,90.1
Montana,2020-09-04,2020-09-03,58.5,19.1,77.6
Nebraska,2020-09-04,2020-09-03,70.7,17.1,87.8
Nevada,2020-09-04,2020-09-03,64.7,19.5,84.3
New Hampshire,2020-09-04,2020-09-03,65.5,20.7,86.2
New Jersey,2020-09-04,2020-09-03,67.4,17.8,85.3
New Mexico,2020-09-04,2020-09-03,56.1,20.7,76.8
New York,2020-09-04,2020-09-03,61.7,22.3,84
North Carolina,2020-09-04,2020-09-03,61.2,18,79.2
North Dakota,2020-09-04,2020-09-03,64.2,22.9,87
Ohio,2020-09-04,2020-09-03,69.4,19.3,88.6
Oklahoma,2020-09-04,2020-09-03,59.6,22.9,82.5
Oregon,2020-09-04,2020-09-03,68.1,25.3,93.4
Pennsylvania,2020-09-04,2020-09-03,68,20.7,88.7
Rhode Island,2020-09-04,2020-09-03,63.4,23.2,86.6
South Carolina,2020-09-04,2020-09-03,59.2,18.8,78
South Dakota,2020-09-04,2020-09-03,65.9,18.4,84.4
Tennessee,2020-09-04,2020-09-03,64.6,22,86.6
Texas,2020-09-04,2020-09-03,60.7,21.9,82.6
