state,as_of_date,enumerated,type,finished
Indiana,2020-08-20,81.8,observation,2020-09-24
Iowa,2020-08-20,71.6,observation,2020-10-10
Kansas,2020-08-20,84.2,observation,2020-09-25
Kentucky,2020-08-20,73.4,observation,2020-10-11
Louisiana,2020-08-20,69.1,observation,2020-10-17
Maine,2020-08-20,82.1,observation,2020-09-23
Maryland,2020-08-20,80.4,observation,2020-10-04
Massachusetts,2020-08-20,78.6,observation,2020-10-03
Michigan,2020-08-20,74.4,observation,2020-10-06
Minnesota,2020-08-20,81.1,observation,2020-09-28
Mississippi,2020-08-20,66.3,observation,2020-10-17
Missouri,2020-08-20,78.6,observation,2020-10-02
Montana,2020-08-20,65.5,observation,2020-10-17
Nebraska,2020-08-20,77,observation,2020-10-04
Nevada,2020-08-20,69.1,observation,2020-10-07
New Hampshire,2020-08-20,71,observation,2020-10-02
New Jersey,2020-08-20,73.2,observation,2020-10-06
New Mexico,2020-08-20,61.5,observation,2020-10-15
New York,2020-08-20,69,observation,2020-10-06
North Carolina,2020-08-20,66.3,observation,2020-10-14
North Dakota,2020-08-20,77.4,observation,2020-10-04
Ohio,2020-08-20,77.1,observation,2020-10-03
Oklahoma,2020-08-20,70.9,observation,2020-10-11
Oregon,2020-08-20,81.2,observation,2020-09-30
Pennsylvania,2020-08-20,77.9,observation,2020-10-04
Rhode Island,2020-08-20,71.1,observation,2020-10-04
South Carolina,2020-08-20,65.2,observation,2020-10-17
South Dakota,2020-08-20,72.1,observation,2020-10-10
Tennessee,2020-08-20,73.2,observation,2020-10-05
Texas,2020-08-20,68.7,observation,2020-10-07
Utah,2020-08-20,77.1,observation,2020-10-01
Vermont,2020-08-20,68.6,observation,2020-09-26
Virginia,2020-08-20,76.9,observation,2020-10-06
Washington,2020-08-20,85.1,observation,2020-09-24
West Virginia,2020-08-20,85.6,observation,2020-09-12
Wisconsin,2020-08-20,81.2,observation,2020-09-25
Wyoming,2020-08-20,68.2,observation,2020-10-11
Puerto Rico,2020-08-20,58.6,observation,2020-09-30
U.S. Total,2020-08-21,74.8,observation,2020-10-07
Alabama,2020-08-21,67.7,observation,2020-10-19
Alaska,2020-08-21,75.8,observation,2020-10-03
Arizona,2020-08-21,66.6,observation,2020-10-14
Arkansas,2020-08-21,72.8,observation,2020-09-27
California,2020-08-21,78.3,observation,2020-10-02
Colorado,2020-08-21,77.5,observation,2020-10-08
Connecticut,2020-08-21,83.5,observation,2020-09-27
Delaware,2020-08-21,71.3,observation,2020-10-10
District of Columbia,2020-08-21,72.2,observation,2020-10-10
Florida,2020-08-21,67.8,observation,2020-10-13
Georgia,2020-08-21,66.5,observation,2020-10-16
Hawaii,2020-08-21,81.6,observation,2020-09-17
Idaho,2020-08-21,93.1,observation,2020-09-11
Illinois,2020-08-21,82.8,observation,2020-10-02
Indiana,2020-08-21,82.8,observation,2020-09-24
Iowa,2020-08-21,72.2,observation,2020-10-10
Kansas,2020-08-21,85.1,observation,2020-09-25
Kentucky,2020-08-21,74.2,observation,2020-10-11
Louisiana,2020-08-21,70,observation,2020-10-17
Maine,2020-08-21,83.1,observation,2020-09-23
Maryland,2020-08-21,81.2,observation,2020-10-04
Massachusetts,2020-08-21,79.5,observation,2020-10-03
Michigan,2020-08-21,75.2,observation,2020-10-06
Minnesota,2020-08-21,81.9,observation,2020-09-28
Mississippi,2020-08-21,67.2,observation,2020-10-17
Missouri,2020-08-21,79.6,observation,2020-10-02
Montana,2020-08-21,66.4,observation,2020-10-17
Nebraska,2020-08-21,77.9,observation,2020-10-04
Nevada,2020-08-21,70,observation,2020-10-07
New Hampshire,2020-08-21,72,observation,2020-10-02
New Jersey,2020-08-21,74,observation,2020-10-06
New Mexico,2020-08-21,62.5,observation,2020-10-15
New York,2020-08-21,70.1,observation,2020-10-06
North Carolina,2020-08-21,67.1,observation,2020-10-14
North Dakota,2020-08-21,78.2,observation,2020-10-04
Ohio,2020-08-21,78,observation,2020-10-03
Oklahoma,2020-08-21,71.9,observation,2020-10-11
Oregon,2020-08-21,82.3,observation,2020-09-30
Pennsylvania,2020-08-21,78.7,observation,2020-10-04
Rhode Island,2020-08-21,72.3,observation,2020-10-04
South Carolina,2020-08-21,66.1,observation,2020-10-17
South Dakota,2020-08-21,73,observation,2020-10-10
Tennessee,2020-08-21,74.3,observation,2020-10-05
Texas,2020-08-21,69.8,observation,2020-10-07
Utah,2020-08-21,78.1,observation,2020-10-01
Vermont,2020-08-21,69.9,observation,2020-09-26
Virginia,2020-08-21,77.7,observation,2020-10-06
Washington,2020-08-21,85.9,observation,2020-09-24
West Virginia,2020-08-21,86.5,observation,2020-09-12
Wisconsin,2020-08-21,82.3,observation,2020-09-25
Wyoming,2020-08-21,69.5,observation,2020-10-11
Puerto Rico,2020-08-21,60.4,observation,2020-09-30
U.S. Total,2020-08-22,75.6,observation,2020-10-07
Alabama,2020-08-22,68.4,observation,2020-10-19
Alaska,2020-08-22,77.3,observation,2020-10-03
Arizona,2020-08-22,67.4,observation,2020-10-14
Arkansas,2020-08-22,74.2,observation,2020-09-27
California,2020-08-22,79.2,observation,2020-10-02
Colorado,2020-08-22,78.2,observation,2020-10-08
Connecticut,2020-08-22,84.4,observation,2020-09-27
Delaware,2020-08-22,72.2,observation,2020-10-10
District of Columbia,2020-08-22,73.1,observation,2020-10-10
Florida,2020-08-22,68.6,observation,2020-10-13
Georgia,2020-08-22,67.3,observation,2020-10-16
Hawaii,2020-08-22,82.7,observation,2020-09-17
Idaho,2020-08-22,93.5,observation,2020-09-11
Illinois,2020-08-22,83.4,observation,2020-10-02
Indiana,2020-08-22,83.7,observation,2020-09-24
Iowa,2020-08-22,72.9,observation,2020-10-10
Kansas,2020-08-22,85.8,observation,2020-09-25
Kentucky,2020-08-22,75,observation,2020-10-11
Louisiana,2020-08-22,70.7,observation,2020-10-17
Maine,2020-08-22,83.9,observation,2020-09-23
Maryland,2020-08-22,81.9,observation,2020-10-04
Massachusetts,2020-08-22,80.3,observation,2020-10-03
