state,as_of_date,enumerated,type,finished
Vermont,2020-09-04,88.2,observation,2020-09-26
Virginia,2020-09-04,87.7,observation,2020-10-06
Washington,2020-09-04,94.8,observation,2020-09-24
West Virginia,2020-09-04,96.4,observation,2020-09-12
Wisconsin,2020-09-04,93.8,observation,2020-09-25
Wyoming,2020-09-04,83.9,observation,2020-10-11
Puerto Rico,2020-09-04,82.4,observation,2020-09-30
U.S. Total,2020-09-05,87.1,observation,2020-10-07
Alabama,2020-09-05,77.9,observation,2020-10-19
Alaska,2020-09-05,89.5,observation,2020-10-03
Arizona,2020-09-05,78.7,observation,2020-10-14
Arkansas,2020-09-05,90.2,observation,2020-09-27
California,2020-09-05,90.6,observation,2020-10-02
Colorado,2020-09-05,88,observation,2020-10-08
Connecticut,2020-09-05,93.7,observation,2020-09-27
Delaware,2020-09-05,84.6,observation,2020-10-10
District of Columbia,2020-09-05,85,observation,2020-10-10
Florida,2020-09-05,81.1,observation,2020-10-13
Georgia,2020-09-05,78.1,observation,2020-10-16
Hawaii,2020-09-05,94.4,observation,2020-09-17
Idaho,2020-09-05,98.1,observation,2020-09-11
Illinois,2020-09-05,91.5,observation,2020-10-02
Indiana,2020-09-05,94,observation,2020-09-24
Iowa,2020-09-05,84.4,observation,2020-10-10
Kansas,2020-09-05,94.6,observation,2020-09-25
Kentucky,2020-09-05,85.1,observation,2020-10-11
Louisiana,2020-09-05,79.5,observation,2020-10-17
Maine,2020-09-05,94.4,observation,2020-09-23
Maryland,2020-09-05,90.2,observation,2020-10-04
Massachusetts,2020-09-05,90.7,observation,2020-10-03
Michigan,2020-09-05,87.3,observation,2020-10-06
Minnesota,2020-09-05,92.1,observation,2020-09-28
Mississippi,2020-09-05,78.9,observation,2020-10-17
Missouri,2020-09-05,91.3,observation,2020-10-02
Montana,2020-09-05,78.9,observation,2020-10-17
Nebraska,2020-09-05,89,observation,2020-10-04
Nevada,2020-09-05,85.9,observation,2020-10-07
New Hampshire,2020-09-05,87.9,observation,2020-10-02
New Jersey,2020-09-05,86.7,observation,2020-10-06
New Mexico,2020-09-05,79,observation,2020-10-15
New York,2020-09-05,85.8,observation,2020-10-06
North Carolina,2020-09-05,80.8,observation,2020-10-14
North Dakota,2020-09-05,88.2,observation,2020-10-04
Ohio,2020-09-05,89.8,observation,2020-10-03
Oklahoma,2020-09-05,83.9,observation,2020-10-11
Oregon,2020-09-05,94.3,observation,2020-09-30
Pennsylvania,2020-09-05,89.8,observation,2020-10-04
Rhode Island,2020-09-05,88.2,observation,2020-10-04
South Carolina,2020-09-05,79.5,observation,2020-10-17
South Dakota,2020-09-05,85.7,observation,2020-10-10
Tennessee,2020-09-05,88.1,observation,2020-10-05
Texas,2020-09-05,84.4,observation,2020-10-07
Utah,2020-09-05,90.3,observation,2020-10-01
Vermont,2020-09-05,89.3,observation,2020-09-26
Virginia,2020-09-05,88.3,observation,2020-10-06
Washington,2020-09-05,95.3,observation,2020-09-24
West Virginia,2020-09-05,96.7,observation,2020-09-12
Wisconsin,2020-09-05,94.2,observation,2020-09-25
Wyoming,2020-09-05,84.6,observation,2020-10-11
Puerto Rico,2020-09-05,83.8,observation,2020-09-30
U.S. Total,2020-09-06,87.6,observation,2020-10-07
Alabama,2020-09-06,78.5,observation,2020-10-19
Alaska,2020-09-06,90.1,observation,2020-10-03
Arizona,2020-09-06,79.4,observation,2020-10-14
Arkansas,2020-09-06,90.9,observation,2020-09-27
California,2020-09-06,91.1,observation,2020-10-02
Colorado,2020-09-06,88.6,observation,2020-10-08
Connecticut,2020-09-06,94.1,observation,2020-09-27
Delaware,2020-09-06,85.2,observation,2020-10-10
District of Columbia,2020-09-06,85.4,observation,2020-10-10
Florida,2020-09-06,81.8,observation,2020-10-13
Georgia,2020-09-06,78.7,observation,2020-10-16
Hawaii,2020-09-06,95,observation,2020-09-17
Idaho,2020-09-06,98.3,observation,2020-09-11
Illinois,2020-09-06,92,observation,2020-10-02
Indiana,2020-09-06,94.4,observation,2020-09-24
Iowa,2020-09-06,85,observation,2020-10-10
Kansas,2020-09-06,95,observation,2020-09-25
Kentucky,2020-09-06,85.6,observation,2020-10-11
Louisiana,2020-09-06,80.2,observation,2020-10-17
Maine,2020-09-06,94.7,observation,2020-09-23
Maryland,2020-09-06,90.6,observation,2020-10-04
Massachusetts,2020-09-06,91.1,observation,2020-10-03
Michigan,2020-09-06,87.8,observation,2020-10-06
Minnesota,2020-09-06,92.6,observation,2020-09-28
Mississippi,2020-09-06,79.6,observation,2020-10-17
Missouri,2020-09-06,91.7,observation,2020-10-02
Montana,2020-09-06,79.4,observation,2020-10-17
Nebraska,2020-09-06,89.5,observation,2020-10-04
Nevada,2020-09-06,86.6,observation,2020-10-07
New Hampshire,2020-09-06,88.8,observation,2020-10-02
New Jersey,2020-09-06,87.3,observation,2020-10-06
New Mexico,2020-09-06,79.9,observation,2020-10-15
New York,2020-09-06,86.6,observation,2020-10-06
North Carolina,2020-09-06,81.5,observation,2020-10-14
North Dakota,2020-09-06,88.6,observation,2020-10-04
Ohio,2020-09-06,90.3,observation,2020-10-03
Oklahoma,2020-09-06,84.6,observation,2020-10-11
Oregon,2020-09-06,94.6,observation,2020-09-30
Pennsylvania,2020-09-06,90.3,observation,2020-10-04
Rhode Island,2020-09-06,88.9,observation,2020-10-04
South Carolina,2020-09-06,80.1,observation,2020-10-17
South Dakota,2020-09-06,86.3,observation,2020-10-10
Tennessee,2020-09-06,88.6,observation,2020-10-05
Texas,2020-09-06,85.2,observation,2020-10-07
Utah,2020-09-06,90.7,observation,2020-10-01
Vermont,2020-09-06,90.4,observation,2020-09-26
Virginia,2020-09-06,88.8,observation,2020-10-06
Washington,2020-09-06,95.9,observation,2020-09-24
West Virginia,2020-09-06,97.1,observation,2020-09-12
Wisconsin,2020-09-06,94.5,observation,2020-09-25
Wyoming,2020-09-06,85.2,observation,2020-10-11
Puerto Rico,2020-09-06,85.1,observation,2020-09-30
U.S. Total,2020-09-07,88.2,observation,2020-10-07
Alabama,2020-09-07,79,observation,2020-10-19
Alaska,2020-09-07,90.7,observation,2020-10-03
Arizona,2020-09-07,80.1,observation,2020-10-14
Arkansas,2020-09-07,91.5,observation,2020-09-27
California,2020-09-07,91.5,observation,2020-10-02
Colorado,2020-09-07,89,observation,2020-10-08
Connecticut,2020-09-07,94.4,observation,2020-09-27
Delaware,2020-09-07,85.8,observation,2020-10-10
District of Columbia,2020-09-07,85.8,observation,2020-10-10
Florida,2020-09-07,82.5,observation,2020-10-13
Georgia,2020-09-07,79.3,observation,2020-10-16
Hawaii,2020-09-07,95.6,observation,2020-09-17
Idaho,2020-09-07,98.4,observation,2020-09-11
Illinois,2020-09-07,92.4,observation,2020-10-02
Indiana,2020-09-07,94.7,observation,2020-09-24
Iowa,2020-09-07,85.6,observation,2020-10-10
Kansas,2020-09-07,95.3,observation,2020-09-25
Kentucky,2020-09-07,86.1,observation,2020-10-11
Louisiana,2020-09-07,80.8,observation,2020-10-17
Maine,2020-09-07,95,observation,2020-09-23
Maryland,2020-09-07,90.9,observation,2020-10-04
Massachusetts,2020-09-07,91.6,observation,2020-10-03
Michigan,2020-09-07,88.2,observation,2020-10-06
Minnesota,2020-09-07,93,observation,2020-09-28
Mississippi,2020-09-07,80.1,observation,2020-10-17
Missouri,2020-09-07,92.1,observation,2020-10-02
Montana,2020-09-07,79.9,observation,2020-10-17
Nebraska,2020-09-07,90,observation,2020-10-04
Nevada,2020-09-07,87.2,observation,2020-10-07
New Hampshire,2020-09-07,89.4,observation,2020-10-02
New Jersey,2020-09-07,87.9,observation,2020-10-06
New Mexico,2020-09-07,80.7,observation,2020-10-15
New York,2020-09-07,87.3,observation,2020-10-06
North Carolina,2020-09-07,82.1,observation,2020-10-14
North Dakota,2020-09-07,89.2,observation,2020-10-04
Ohio,2020-09-07,90.6,observation,2020-10-03
Oklahoma,2020-09-07,85.3,observation,2020-10-11
Oregon,2020-09-07,94.9,observation,2020-09-30
Pennsylvania,2020-09-07,90.6,observation,2020-10-04
Rhode Island,2020-09-07,89.4,observation,2020-10-04
South Carolina,2020-09-07,80.7,observation,2020-10-17
South Dakota,2020-09-07,86.7,observation,2020-10-10
Tennessee,2020-09-07,89.1,observation,2020-10-05
Texas,2020-09-07,85.9,observation,2020-10-07
Utah,2020-09-07,91.1,observation,2020-10-01
Vermont,2020-09-07,91.3,observation,2020-09-26
Virginia,2020-09-07,89.3,observation,2020-10-06
Washington,2020-09-07,96.2,observation,2020-09-24
West Virginia,2020-09-07,97.3,observation,2020-09-12
Wisconsin,2020-09-07,94.9,observation,2020-09-25
Wyoming,2020-09-07,85.6,observation,2020-10-11
Puerto Rico,2020-09-07,86.4,observation,2020-09-30
U.S. Total,2020-09-08,88.8,observation,2020-10-07
Alabama,2020-09-08,79.8,observation,2020-10-19
Alaska,2020-09-08,91.2,observation,2020-10-03
Arizona,2020-09-08,80.8,observation,2020-10-14
Arkansas,2020-09-08,92.3,observation,2020-09-27
California,2020-09-08,92.1,observation,2020-10-02
Colorado,2020-09-08,89.4,observation,2020-10-08
Connecticut,2020-09-08,94.7,observation,2020-09-27
Delaware,2020-09-08,86.4,observation,2020-10-10
District of Columbia,2020-09-08,86.5,observation,2020-10-10
Florida,2020-09-08,83.3,observation,2020-10-13
Georgia,2020-09-08,80.2,observation,2020-10-16
Hawaii,2020-09-08,96.1,observation,2020-09-17
Idaho,2020-09-08,98.5,observation,2020-09-11
Illinois,2020-09-08,92.8,observation,2020-10-02
Indiana,2020-09-08,95.1,observation,2020-09-24
Iowa,2020-09-08,86.2,observation,2020-10-10
Kansas,2020-09-08,95.6,observation,2020-09-25
Kentucky,2020-09-08,86.7,observation,2020-10-11
Louisiana,2020-09-08,81.3,observation,2020-10-17
Maine,2020-09-08,95.4,observation,2020-09-23
Maryland,2020-09-08,91.3,observation,2020-10-04
Massachusetts,2020-09-08,92,observation,2020-10-03
Michigan,2020-09-08,88.7,observation,2020-10-06
Minnesota,2020-09-08,93.6,observation,2020-09-28
Mississippi,2020-09-08,80.7,observation,2020-10-17
Missouri,2020-09-08,92.7,observation,2020-10-02
Montana,2020-09-08,80.7,observation,2020-10-17
Nebraska,2020-09-08,90.4,observation,2020-10-04
Nevada,2020-09-08,87.8,observation,2020-10-07
New Hampshire,2020-09-08,90.2,observation,2020-10-02
New Jersey,2020-09-08,88.5,observation,2020-10-06
New Mexico,2020-09-08,81.5,observation,2020-10-15
New York,2020-09-08,88,observation,2020-10-06
North Carolina,2020-09-08,82.9,observation,2020-10-14
North Dakota,2020-09-08,89.7,observation,2020-10-04
Ohio,2020-09-08,91.2,observation,2020-10-03
Oklahoma,2020-09-08,85.9,observation,2020-10-11
Oregon,2020-09-08,95.2,observation,2020-09-30
Pennsylvania,2020-09-08,91.2,observation,2020-10-04
Rhode Island,2020-09-08,90,observation,2020-10-04
South Carolina,2020-09-08,81.5,observation,2020-10-17
South Dakota,2020-09-08,87.4,observation,2020-10-10
Tennessee,2020-09-08,89.7,observation,2020-10-05
Texas,2020-09-08,86.8,observation,2020-10-07
Utah,2020-09-08,91.7,observation,2020-10-01
Vermont,2020-09-08,92.2,observation,2020-09-26
Virginia,2020-09-08,89.8,observation,2020-10-06
Washington,2020-09-08,96.5,observation,2020-09-24
West Virginia,2020-09-08,97.7,observation,2020-09-12
Wisconsin,2020-09-08,95.3,observation,2020-09-25
Wyoming,2020-09-08,86,observation,2020-10-11
Puerto Rico,2020-09-08,87.6,observation,2020-09-30
U.S. Total,2020-09-09,89.4,observation,2020-10-07
Alabama,2020-09-09,80.6,observation,2020-10-19
Alaska,2020-09-09,91.8,observation,2020-10-03
Arizona,2020-09-09,81.7,observation,2020-10-14
Arkansas,2020-09-09,93,observation,2020-09-27
California,2020-09-09,92.6,observation,2020-10-02
Colorado,2020-09-09,89.7,observation,2020-10-08
Connecticut,2020-09-09,95.1,observation,2020-09-27
Delaware,2020-09-09,87.2,observation,2020-10-10
District of Columbia,2020-09-09,87.3,observation,2020-10-10
Florida,2020-09-09,84.2,observation,2020-10-13
Georgia,2020-09-09,81.1,observation,2020-10-16
Hawaii,2020-09-09,96.6,observation,2020-09-17
Idaho,2020-09-09,98.7,observation,2020-09-11
Illinois,2020-09-09,93.2,observation,2020-10-02
Indiana,2020-09-09,95.5,observation,2020-09-24
Iowa,2020-09-09,86.7,observation,2020-10-10
Kansas,2020-09-09,95.9,observation,2020-09-25
Kentucky,2020-09-09,87.3,observation,2020-10-11
Louisiana,2020-09-09,81.9,observation,2020-10-17
Maine,2020-09-09,95.8,observation,2020-09-23
Maryland,2020-09-09,91.9,observation,2020-10-04
Massachusetts,2020-09-09,92.5,observation,2020-10-03
Michigan,2020-09-09,89.5,observation,2020-10-06
Minnesota,2020-09-09,94,observation,2020-09-28
Mississippi,2020-09-09,81.4,observation,2020-10-17
Missouri,2020-09-09,93.1,observation,2020-10-02
Montana,2020-09-09,81.5,observation,2020-10-17
Nebraska,2020-09-09,90.9,observation,2020-10-04
Nevada,2020-09-09,88.6,observation,2020-10-07
New Hampshire,2020-09-09,91.3,observation,2020-10-02
New Jersey,2020-09-09,89.2,observation,2020-10-06
New Mexico,2020-09-09,82.8,observation,2020-10-15
New York,2020-09-09,88.8,observation,2020-10-06
North Carolina,2020-09-09,83.8,observation,2020-10-14
North Dakota,2020-09-09,90.2,observation,2020-10-04
Ohio,2020-09-09,91.8,observation,2020-10-03
Oklahoma,2020-09-09,86.5,observation,2020-10-11
Oregon,2020-09-09,95.6,observation,2020-09-30
Pennsylvania,2020-09-09,91.7,observation,2020-10-04
Rhode Island,2020-09-09,90.7,observation,2020-10-04
South Carolina,2020-09-09,82.4,observation,2020-10-17
South Dakota,2020-09-09,88.1,observation,2020-10-10
Tennessee,2020-09-09,90.5,observation,2020-10-05
Texas,2020-09-09,87.5,observation,2020-10-07
Utah,2020-09-09,92.2,observation,2020-10-01
Vermont,2020-09-09,93.1,observation,2020-09-26
Virginia,2020-09-09,90.4,observation,2020-10-06
Washington,2020-09-09,96.8,observation,2020-09-24
West Virginia,2020-09-09,98.1,observation,2020-09-12
Wisconsin,2020-09-09,95.6,observation,2020-09-25
Wyoming,2020-09-09,86.6,observation,2020-10-11
Puerto Rico,2020-09-09,88.6,observation,2020-09-30
U.S. Total,2020-09-10,90.1,observation,2020-10-07
Alabama,2020-09-10,81.5,observation,2020-10-19
Alaska,2020-09-10,92.5,observation,2020-10-03
Arizona,2020-09-10,82.8,observation,2020-10-14
Arkansas,2020-09-10,93.7,observation,2020-09-27
California,2020-09-10,93.1,observation,2020-10-02
Colorado,2020-09-10,90.3,observation,2020-10-08
Connecticut,2020-09-10,95.4,observation,2020-09-27
Delaware,2020-09-10,88,observation,2020-10-10
District of Columbia,2020-09-10,88,observation,2020-10-10
Florida,2020-09-10,85.1,observation,2020-10-13
Georgia,2020-09-10,82.1,observation,2020-10-16
Hawaii,2020-09-10,97.2,observation,2020-09-17
Idaho,2020-09-10,98.9,observation,2020-09-11
Illinois,2020-09-10,93.7,observation,2020-10-02
Indiana,2020-09-10,96,observation,2020-09-24
Iowa,2020-09-10,87.5,observation,2020-10-10
Kansas,2020-09-10,96.2,observation,2020-09-25
Kentucky,2020-09-10,87.9,observation,2020-10-11
Louisiana,2020-09-10,82.7,observation,2020-10-17
Maine,2020-09-10,96.3,observation,2020-09-23
Maryland,2020-09-10,92.2,observation,2020-10-04
Massachusetts,2020-09-10,93,observation,2020-10-03
Michigan,2020-09-10,90.2,observation,2020-10-06
Minnesota,2020-09-10,94.6,observation,2020-09-28
Mississippi,2020-09-10,82.3,observation,2020-10-17
Missouri,2020-09-10,93.7,observation,2020-10-02
Montana,2020-09-10,82.3,observation,2020-10-17
Nebraska,2020-09-10,91.6,observation,2020-10-04
Nevada,2020-09-10,89.3,observation,2020-10-07
New Hampshire,2020-09-10,92.1,observation,2020-10-02
New Jersey,2020-09-10,89.9,observation,2020-10-06
New Mexico,2020-09-10,83.7,observation,2020-10-15
New York,2020-09-10,89.6,observation,2020-10-06
North Carolina,2020-09-10,84.8,observation,2020-10-14
North Dakota,2020-09-10,90.8,observation,2020-10-04
Ohio,2020-09-10,92.4,observation,2020-10-03
Oklahoma,2020-09-10,87.3,observation,2020-10-11
Oregon,2020-09-10,95.9,observation,2020-09-30
Pennsylvania,2020-09-10,92.3,observation,2020-10-04
Rhode Island,2020-09-10,91.4,observation,2020-10-04
South Carolina,2020-09-10,83.2,observation,2020-10-17
South Dakota,2020-09-10,88.8,observation,2020-10-10
Tennessee,2020-09-10,91.1,observation,2020-10-05
Texas,2020-09-10,88.5,observation,2020-10-07
Utah,2020-09-10,92.9,observation,2020-10-01
Vermont,2020-09-10,93.9,observation,2020-09-26
Virginia,2020-09-10,91,observation,2020-10-06
Washington,2020-09-10,97.2,observation,2020-09-24
West Virginia,2020-09-10,98.4,observation,2020-09-12
Wisconsin,2020-09-10,96,observation,2020-09-25
Wyoming,2020-09-10,87.5,observation,2020-10-11
Puerto Rico,2020-09-10,89.9,observation,2020-09-30
U.S. Total,2020-09-11,90.8,observation,2020-10-07
Alabama,2020-09-11,82.3,observation,2020-10-19
Alaska,2020-09-11,93.1,observation,2020-10-03
Arizona,2020-09-11,83.9,observation,2020-10-14
Arkansas,2020-09-11,94.3,observation,2020-09-27
California,2020-09-11,93.7,observation,2020-10-02
Colorado,2020-09-11,90.9,observation,2020-10-08
Connecticut,2020-09-11,95.8,observation,2020-09-27
Delaware,2020-09-11,88.8,observation,2020-10-10
District of Columbia,2020-09-11,88.8,observation,2020-10-10
Florida,2020-09-11,86,observation,2020-10-13
Georgia,2020-09-11,83.1,observation,2020-10-16
Hawaii,2020-09-11,97.6,observation,2020-09-17
Idaho,2020-09-11,99.1,observation,2020-09-11
Illinois,2020-09-11,94.1,observation,2020-10-02
Indiana,2020-09-11,96.4,observation,2020-09-24
Iowa,2020-09-11,88.1,observation,2020-10-10
Kansas,2020-09-11,96.5,observation,2020-09-25
Kentucky,2020-09-11,88.5,observation,2020-10-11
Louisiana,2020-09-11,83.5,observation,2020-10-17
Maine,2020-09-11,96.7,observation,2020-09-23
Maryland,2020-09-11,92.8,observation,2020-10-04
Massachusetts,2020-09-11,93.5,observation,2020-10-03
Michigan,2020-09-11,90.9,observation,2020-10-06
Minnesota,2020-09-11,95,observation,2020-09-28
Mississippi,2020-09-11,83.1,observation,2020-10-17
Missouri,2020-09-11,94.1,observation,2020-10-02
Montana,2020-09-11,83.2,observation,2020-10-17
Nebraska,2020-09-11,92.1,observation,2020-10-04
Nevada,2020-09-11,90,observation,2020-10-07
New Hampshire,2020-09-11,92.9,observation,2020-10-02
New Jersey,2020-09-11,90.7,observation,2020-10-06
New Mexico,2020-09-11,84.6,observation,2020-10-15
New York,2020-09-11,90.5,observation,2020-10-06
North Carolina,2020-09-11,85.6,observation,2020-10-14
North Dakota,2020-09-11,91.6,observation,2020-10-04
Ohio,2020-09-11,93,observation,2020-10-03
Oklahoma,2020-09-11,88.1,observation,2020-10-11
Oregon,2020-09-11,96.1,observation,2020-09-30
Pennsylvania,2020-09-11,92.8,observation,2020-10-04
Rhode Island,2020-09-11,92.1,observation,2020-10-04
South Carolina,2020-09-11,84,observation,2020-10-17
South Dakota,2020-09-11,89.5,observation,2020-10-10
Tennessee,2020-09-11,91.7,observation,2020-10-05
Texas,2020-09-11,89.3,observation,2020-10-07
Utah,2020-09-11,93.5,observation,2020-10-01
Vermont,2020-09-11,94.5,observation,2020-09-26
Virginia,2020-09-11,91.6,observation,2020-10-06
Washington,2020-09-11,97.4,observation,2020-09-24
West Virginia,2020-09-11,98.7,observation,2020-09-12
Wisconsin,2020-09-11,96.3,observation,2020-09-25
Wyoming,2020-09-11,88.2,observation,2020-10-11
Puerto Rico,2020-09-11,90.8,observation,2020-09-30
U.S. Total,2020-09-12,91.3,observation,2020-10-07
Alabama,2020-09-12,83,observation,2020-10-19
Alaska,2020-09-12,93.6,observation,2020-10-03
Arizona,2020-09-12,84.9,observation,2020-10-14
Arkansas,2020-09-12,94.8,observation,2020-09-27
California,2020-09-12,94,observation,2020-10-02
Colorado,2020-09-12,91.3,observation,2020-10-08
Connecticut,2020-09-12,96.2,observation,2020-09-27
Delaware,2020-09-12,89.6,observation,2020-10-10
District of Columbia,2020-09-12,89.4,observation,2020-10-10
Florida,2020-09-12,86.7,observation,2020-10-13
Georgia,2020-09-12,83.9,observation,2020-10-16
Hawaii,2020-09-12,97.8,observation,2020-09-17
Idaho,2020-09-12,99.2,observation,2020-09-11
Illinois,2020-09-12,94.3,observation,2020-10-02
Indiana,2020-09-12,96.6,observation,2020-09-24
Iowa,2020-09-12,88.7,observation,2020-10-10
Kansas,2020-09-12,96.8,observation,2020-09-25
Kentucky,2020-09-12,89,observation,2020-10-11
Louisiana,2020-09-12,84.1,observation,2020-10-17
Maine,2020-09-12,96.8,observation,2020-09-23
Maryland,2020-09-12,93.3,observation,2020-10-04
Massachusetts,2020-09-12,93.9,observation,2020-10-03
Michigan,2020-09-12,91.5,observation,2020-10-06
Minnesota,2020-09-12,95.3,observation,2020-09-28
Mississippi,2020-09-12,83.8,observation,2020-10-17
Missouri,2020-09-12,94.4,observation,2020-10-02
Montana,2020-09-12,83.9,observation,2020-10-17
Nebraska,2020-09-12,92.6,observation,2020-10-04
Nevada,2020-09-12,90.7,observation,2020-10-07
New Hampshire,2020-09-12,93.3,observation,2020-10-02
New Jersey,2020-09-12,91.4,observation,2020-10-06
New Mexico,2020-09-12,85.4,observation,2020-10-15
New York,2020-09-12,91.3,observation,2020-10-06
North Carolina,2020-09-12,86.3,observation,2020-10-14
North Dakota,2020-09-12,92.2,observation,2020-10-04
Ohio,2020-09-12,93.5,observation,2020-10-03
Oklahoma,2020-09-12,88.7,observation,2020-10-11
Oregon,2020-09-12,96.2,observation,2020-09-30
Pennsylvania,2020-09-12,93.3,observation,2020-10-04
Rhode Island,2020-09-12,92.7,observation,2020-10-04
South Carolina,2020-09-12,84.7,observation,2020-10-17
South Dakota,2020-09-12,90,observation,2020-10-10
Tennessee,2020-09-12,92.3,observation,2020-10-05
Texas,2020-09-12,90.1,observation,2020-10-07
Utah,2020-09-12,93.9,observation,2020-10-01
Vermont,2020-09-12,95,observation,2020-09-26
Virginia,2020-09-12,92.1,observation,2020-10-06
Washington,2020-09-12,97.3,observation,2020-09-24
West Virginia,2020-09-12,99,observation,2020-09-12
Wisconsin,2020-09-12,96.4,observation,2020-09-25
Wyoming,2020-09-12,88.7,observation,2020-10-11
Puerto Rico,2020-09-12,92,observation,2020-09-30
U.S. Total,2020-09-13,91.8,observation,2020-10-07
Alabama,2020-09-13,83.7,observation,2020-10-19
Alaska,2020-09-13,94.1,observation,2020-10-03
Arizona,2020-09-13,85.9,observation,2020-10-14
Arkansas,2020-09-13,95.3,observation,2020-09-27
California,2020-09-13,94.5,observation,2020-10-02
Colorado,2020-09-13,91.9,observation,2020-10-08
Connecticut,2020-09-13,96.5,observation,2020-09-27
Delaware,2020-09-13,90.2,observation,2020-10-10
District of Columbia,2020-09-13,90.1,observation,2020-10-10
Florida,2020-09-13,87.4,observation,2020-10-13
Georgia,2020-09-13,84.7,observation,2020-10-16
Hawaii,2020-09-13,98.2,observation,2020-09-17
Idaho,2020-09-13,99.3,observation,2020-09-11
Illinois,2020-09-13,94.7,observation,2020-10-02
Indiana,2020-09-13,96.8,observation,2020-09-24
Iowa,2020-09-13,89.4,observation,2020-10-10
Kansas,2020-09-13,97.1,observation,2020-09-25
Kentucky,2020-09-13,89.5,observation,2020-10-11
Louisiana,2020-09-13,84.7,observation,2020-10-17
Maine,2020-09-13,97,observation,2020-09-23
Maryland,2020-09-13,93.8,observation,2020-10-04
Massachusetts,2020-09-13,94.3,observation,2020-10-03
Michigan,2020-09-13,92,observation,2020-10-06
Minnesota,2020-09-13,95.7,observation,2020-09-28
Mississippi,2020-09-13,84.6,observation,2020-10-17
Missouri,2020-09-13,94.8,observation,2020-10-02
Montana,2020-09-13,84.6,observation,2020-10-17
Nebraska,2020-09-13,93.1,observation,2020-10-04
Nevada,2020-09-13,91.4,observation,2020-10-07
New Hampshire,2020-09-13,93.9,observation,2020-10-02
New Jersey,2020-09-13,92.1,observation,2020-10-06
New Mexico,2020-09-13,86.1,observation,2020-10-15
New York,2020-09-13,92,observation,2020-10-06
North Carolina,2020-09-13,87,observation,2020-10-14
North Dakota,2020-09-13,92.8,observation,2020-10-04
Ohio,2020-09-13,94,observation,2020-10-03
Oklahoma,2020-09-13,89.4,observation,2020-10-11
Oregon,2020-09-13,96.3,observation,2020-09-30
Pennsylvania,2020-09-13,93.7,observation,2020-10-04
Rhode Island,2020-09-13,93.3,observation,2020-10-04
South Carolina,2020-09-13,85.3,observation,2020-10-17
South Dakota,2020-09-13,90.6,observation,2020-10-10
Tennessee,2020-09-13,92.8,observation,2020-10-05
Texas,2020-09-13,90.8,observation,2020-10-07
Utah,2020-09-13,94.2,observation,2020-10-01
Vermont,2020-09-13,95.6,observation,2020-09-26
Virginia,2020-09-13,92.6,observation,2020-10-06
Washington,2020-09-13,97.5,observation,2020-09-24
West Virginia,2020-09-13,99.2,observation,2020-09-12
Wisconsin,2020-09-13,96.7,observation,2020-09-25
Wyoming,2020-09-13,89.3,observation,2020-10-11
Puerto Rico,2020-09-13,92.9,observation,2020-09-30
U.S. Total,2020-09-14,92.4,observation,2020-10-07
Alabama,2020-09-14,84.4,observation,2020-10-19
Alaska,2020-09-14,94.6,observation,2020-10-03
Arizona,2020-09-14,86.9,observation,2020-10-14
Arkansas,2020-09-14,95.9,observation,2020-09-27
California,2020-09-14,95,observation,2020-10-02
Colorado,2020-09-14,92.4,observation,2020-10-08
Connecticut,2020-09-14,96.9,observation,2020-09-27
Delaware,2020-09-14,90.9,observation,2020-10-10
District of Columbia,2020-09-14,90.7,observation,2020-10-10
Florida,2020-09-14,88.2,observation,2020-10-13
Georgia,2020-09-14,85.6,observation,2020-10-16
Hawaii,2020-09-14,98.4,observation,2020-09-17
Idaho,2020-09-14,99.4,observation,2020-09-11
Illinois,2020-09-14,95.1,observation,2020-10-02
Indiana,2020-09-14,97.2,observation,2020-09-24
Iowa,2020-09-14,90.1,observation,2020-10-10
Kansas,2020-09-14,97.3,observation,2020-09-25
Kentucky,2020-09-14,90.1,observation,2020-10-11
Louisiana,2020-09-14,85.4,observation,2020-10-17
Maine,2020-09-14,97.3,observation,2020-09-23
Maryland,2020-09-14,94.3,observation,2020-10-04
Massachusetts,2020-09-14,94.7,observation,2020-10-03
Michigan,2020-09-14,92.7,observation,2020-10-06
Minnesota,2020-09-14,96.1,observation,2020-09-28
Mississippi,2020-09-14,85.4,observation,2020-10-17
Missouri,2020-09-14,95.2,observation,2020-10-02
Montana,2020-09-14,85.3,observation,2020-10-17
Nebraska,2020-09-14,93.7,observation,2020-10-04
Nevada,2020-09-14,92.2,observation,2020-10-07
New Hampshire,2020-09-14,94.4,observation,2020-10-02
New Jersey,2020-09-14,92.7,observation,2020-10-06
New Mexico,2020-09-14,86.9,observation,2020-10-15
New York,2020-09-14,92.7,observation,2020-10-06
North Carolina,2020-09-14,87.7,observation,2020-10-14
North Dakota,2020-09-14,93.5,observation,2020-10-04
Ohio,2020-09-14,94.5,observation,2020-10-03
Oklahoma,2020-09-14,90.1,observation,2020-10-11
Oregon,2020-09-14,96.5,observation,2020-09-30
Pennsylvania,2020-09-14,94.2,observation,2020-10-04
Rhode Island,2020-09-14,93.9,observation,2020-10-04
South Carolina,2020-09-14,86.1,observation,2020-10-17
South Dakota,2020-09-14,91.2,observation,2020-10-10
Tennessee,2020-09-14,93.4,observation,2020-10-05
Texas,2020-09-14,91.6,observation,2020-10-07
Utah,2020-09-14,94.7,observation,2020-10-01
Vermont,2020-09-14,96.2,observation,2020-09-26
